"Country_Name","Sex","Year","ex","ex_no_traffic","Increase"
"South Africa",1,2004,51.7189221787873,52.5095753278947,0.790653149107321
"South Africa",1,2005,51.7139950745769,52.577007034361,0.863011959784068
"South Africa",1,2006,52.0711832900335,52.9643884994905,0.893205209457072
"South Africa",1,2007,52.9266911886188,53.8152762842163,0.888585095597413
"South Africa",1,2008,51.2433659682821,52.0576635778331,0.814297609550927
"South Africa",1,2009,55.4147097297754,56.2455428292123,0.83083309943688
"South Africa",1,2010,57.1984452426269,58.035593845567,0.837148602940083
"South Africa",1,2011,58.4950684187824,59.3448927187561,0.849824299973712
"South Africa",1,2012,59.1972132907415,60.051618661848,0.854405371106417
"South Africa",1,2013,59.7369409512064,60.5371777443532,0.800236793146752
"South Africa",1,2014,60.150076033752,61.0302429927752,0.880166959023228
"South Africa",1,2015,60.4652778045774,61.3427783889037,0.877500584326263
"South Africa",2,2004,55.7675345066899,56.0922855452437,0.324751038553856
"South Africa",2,2005,55.66004250345,56.005809744696,0.345767241246065
"South Africa",2,2006,56.3174099420052,56.7130019434669,0.395592001461679
"South Africa",2,2007,57.8318446074982,58.1835574708401,0.351712863341845
"South Africa",2,2008,56.3528715038354,56.6593134518192,0.306441947983764
"South Africa",2,2009,61.14814647633,61.4724005432919,0.324254066961842
"South Africa",2,2010,63.043997249702,63.3773377538866,0.333340504184584
"South Africa",2,2011,64.7055144349776,65.0795628093436,0.374048374366012
"South Africa",2,2012,65.7858470719747,66.1288078059805,0.342960734005814
"South Africa",2,2013,66.8075274281557,67.1344526320942,0.326925203938501
"South Africa",2,2014,67.6611269387138,68.0032121951788,0.342085256464912
"South Africa",2,2015,68.0014869056631,68.349779969058,0.348293063394919
