"Country_Name","Sex","Year_centre","ex","ex_no_traffic","Increase"
"UK",1,2002,76.1972183600434,76.4375588838766,0.240340523833297
"UK",1,2007,77.4938829531572,77.7118504232613,0.217967470104057
"UK",1,2012,78.9361397780722,79.0556535847939,0.119513806721713
"UK",2,2002,80.7741346679438,80.8482199308952,0.0740852629513995
"UK",2,2007,81.7531442401917,81.8187173829086,0.0655731427168291
"UK",2,2012,82.7795300694955,82.8161063929979,0.0365763235023877
"USA",1,1997,74.1314125208514,74.680167951745,0.548755430893635
"USA",1,2002,74.6388135739869,75.2140224278373,0.57520885385037
"USA",1,2007,75.6993862828172,76.2401039091489,0.540717626331684
"USA",1,2012,76.6458957552961,77.0759567810616,0.430061025765525
"USA",1,2017,76.6187873637369,77.0632091154887,0.44442175175179
"USA",2,1997,79.5642493671804,79.8520426733981,0.287793306217651
"USA",2,2002,79.8635033619897,80.1478734146681,0.284370052678454
"USA",2,2007,80.7353441880649,80.9817746896831,0.246430501618264
"USA",2,2012,81.4524018606937,81.6469808206288,0.194578959935058
"USA",2,2017,81.4743518316636,81.6725256140815,0.198173782417925
